real_name,_well01_1,_well02_1,_well03_1,_well04_1,_well05_1,_well06_1,_well07_1,_well08_1,_well09_1,_well10_1,_well11_1,_well12_1,part_time,part_east
0,5.5445,5.41432,5.26616,3.99788,3.91177,3.96702,2.72041,2.96772,2.94107,1.09573,1.28707,1.16811,5784.38,232.092
1,5.87564,5.88801,5.57555,4.26796,4.12377,4.16256,2.66873,2.99302,3.13518,0.938804,1.28217,1.26968,8637.06,240.455
2,5.75,5.72651,5.55839,4.10544,4.12481,4.07708,2.55763,2.99956,3.05161,1.25059,1.27636,1.19128,6065.49,295.293
3,5.46085,5.31946,5.30398,4.19193,4.13671,4.17811,2.85909,3.11635,3.00825,1.18401,1.34365,1.3469,5561.47,237.488
4,6.10643,5.85956,5.70642,4.08848,4.11597,4.16044,2.91319,3.19664,3.01686,1.16481,1.38935,1.19244,6238.94,271.282
5,5.58682,5.63246,5.67264,4.00762,4.07114,4.08981,2.58815,3.05039,2.97401,0.836069,1.17262,1.31327,4960.58,199.502
6,6.15127,5.96427,6.05718,4.55469,4.25507,4.32016,2.98797,3.18716,3.17428,1.07887,1.24912,1.13185,5260.33,256.47
7,5.92674,5.65139,5.64121,3.97686,3.9704,3.86231,2.76291,2.94218,2.86572,1.16711,1.25036,1.09024,6271.61,275.139
8,5.78961,5.56155,5.68828,4.27073,4.08033,4.19383,2.73353,3.15225,2.99692,1.11122,1.25272,1.47434,4180.48,181.984
9,5.77748,5.73197,5.75465,4.35232,4.0952,4.12029,2.72055,3.07017,2.86613,1.1038,1.1765,1.09417,5431.38,316.768
10,5.9201,5.57679,5.54706,4.20641,4.15037,4.15787,2.83768,3.11776,3.17502,1.16514,1.18129,1.37589,6676.65,243.535
11,5.83345,5.65276,5.36989,4.17856,4.23293,4.1283,2.7608,3.14286,3.10509,1.14017,1.30162,1.38041,4601.09,306.332
12,6.34379,6.16034,5.96885,4.21254,4.24011,4.4609,2.78951,3.19252,3.35717,1.17609,1.48529,1.26804,6182.21,156.705
13,5.53762,5.43948,5.18805,4.08885,3.93625,3.96301,2.75253,3.14033,3.18724,1.01029,1.34527,1.27171,6301.12,238.28
14,5.83547,5.51268,5.54697,4.08171,4.06392,3.92503,2.74786,3.00023,2.94863,1.20964,1.34318,1.3011,3905.86,266.621
15,5.62389,5.64355,5.43928,3.98239,3.96235,3.92055,2.78462,2.98769,2.92727,1.03019,1.42673,1.41672,6577.12,320.146
16,5.97661,5.82706,5.28181,4.23126,4.00673,4.10376,2.82597,3.11888,3.1084,1.20893,1.36096,1.28271,6276.52,240.042
17,5.76736,5.72539,5.68277,4.06544,4.24579,4.16328,2.92643,3.19755,3.23268,1.39958,1.08277,1.233,5835.03,230.418
18,5.68322,5.39949,5.49008,3.98462,4.03276,4.16538,2.74332,3.15541,2.96425,0.965167,1.20239,1.1006,5151.96,238.759
19,5.14041,5.28591,5.15407,3.80837,3.87736,4.04825,2.60289,2.92279,2.99841,1.10497,1.1662,1.00436,6668.3,200.535
20,6.0187,5.81185,5.6717,4.37734,4.12929,4.19524,2.82236,3.26512,3.17135,1.04509,1.28722,1.2598,5272.18,290.555
21,5.52362,5.46173,5.28011,3.94761,3.87307,3.82646,2.68917,3.06811,2.97891,1.02893,1.16516,1.03534,6191.67,264.414
22,5.746,5.47001,5.47946,4.07561,4.03546,4.15128,2.90826,3.14585,3.02179,0.935548,1.22873,1.20827,4639.8,218.784
23,5.44668,5.17594,5.19755,3.92195,3.77372,3.6972,2.59066,3.01162,2.90013,1.0318,1.22369,1.16324,6828.99,218.011
24,5.79741,5.42612,5.52975,4.00246,3.85101,4.06721,2.67281,2.95689,2.81927,1.32534,1.20839,1.30451,7568.72,204.552
25,5.9425,5.85482,5.69999,4.18825,4.18649,4.30608,2.72664,3.23605,3.18905,1.16401,1.16633,1.11984,6357.85,285.182
26,5.50168,5.50668,5.48474,4.09425,4.03905,4.05101,2.76838,3.21287,3.12485,1.14294,1.28592,1.18581,5408.59,219.5
27,5.81183,5.56905,5.57551,3.93501,4.10178,4.19777,2.85881,2.94531,2.90263,1.06726,1.16907,1.1596,6858.41,202.189
28,5.58241,5.66788,5.53609,4.0164,3.98129,4.15327,2.75028,3.15205,2.98773,1.25743,1.47805,1.32536,6211.01,282.156
29,5.73912,5.53233,5.33361,4.15953,4.05722,4.14567,2.89071,2.92811,2.74482,0.860333,1.07291,1.37248,4897.86,314.533
30,6.2174,6.06603,6.11385,4.75012,4.42753,4.60207,3.07763,3.40732,3.37466,1.30851,1.66263,1.37834,4827.32,230.212
31,5.91936,5.69373,5.50997,4.17448,4.1008,4.06967,2.86456,3.04054,3.04657,1.07124,1.28717,1.26068,5337.75,263.034
32,5.69738,5.51549,5.39031,4.17019,4.1223,4.17966,2.55731,3.22287,3.25924,1.0241,1.21384,1.34148,5318.45,170.001
33,5.54769,5.61085,5.55157,4.19166,4.1449,4.11666,2.70164,3.02399,3.2611,1.15957,1.2574,1.2487,6979.11,236.454
34,5.58376,5.40363,5.37135,3.97024,3.86662,3.88206,2.54126,2.88446,2.7415,1.11244,1.32503,0.954635,7016.36,284.87
35,5.63669,5.63676,5.68054,4.00982,3.97261,3.91578,2.71311,2.95081,2.99263,1.01574,1.04813,1.04,6039.76,209.522
36,6.07366,5.67958,5.61837,4.10075,4.0641,4.17726,2.84176,3.07775,3.03893,1.15557,1.21014,1.34829,6691.61,217.66
37,5.61932,5.63544,5.51167,3.97406,4.02092,3.94376,2.79127,3.05886,2.85989,1.27471,1.15007,1.30296,6600.1,253.911
38,5.61621,5.31956,5.14844,3.78826,3.79553,3.70236,2.56701,2.76173,2.63019,1.08861,1.23325,1.09193,5919.39,335.999
base,5.6599,5.5119,5.38918,4.01369,3.95056,4.02456,2.64684,2.9935,2.96847,1.09249,1.20148,1.20185,6776.94,235.928
