real_name,_well01_1,_well02_1,_well03_1,_well04_1,_well05_1,_well06_1,_well07_1,_well08_1,_well09_1,_well10_1,_well11_1,_well12_1,part_time,part_east
0,5.79518,5.76372,5.40166,3.99322,3.92786,4.01746,2.56529,3.25715,2.91537,1.19111,1.22649,1.03074,0,0
1,5.79615,5.93221,5.38578,4.28054,4.03621,4.11607,2.70541,2.98943,3.05346,1.01234,1.29542,1.23994,0,0
2,5.75322,5.86846,5.53567,4.0929,4.07011,3.96985,2.55566,3.08145,3.03444,1.13634,1.22215,1.28038,0,0
3,5.79258,5.69377,5.54085,4.30163,3.86716,4.17004,2.72797,3.1534,2.93966,1.25509,1.29203,1.26799,0,0
4,5.89565,5.72173,5.45884,4.10381,3.83805,4.09143,2.55747,3.28495,2.90233,1.18411,1.1923,1.26519,0,0
5,5.67496,5.82771,5.52179,4.15145,3.94543,4.13167,2.51899,3.1622,2.82243,1.14906,0.98038,1.1582,0,0
6,5.77674,5.79938,5.66671,4.23808,3.9322,4.14161,2.61547,3.25077,2.89564,1.01393,1.14575,1.0874,0,0
7,5.95205,5.74057,5.59682,3.92242,3.86261,3.99053,2.52742,2.99155,2.90678,1.07234,1.03433,1.09593,0,0
8,5.63988,5.72814,5.48298,4.26032,3.82295,4.0984,2.6447,3.28947,2.95921,1.0688,1.18431,1.40823,0,0
9,5.8143,5.56151,5.67454,4.2306,3.83716,3.98551,2.59549,3.21137,2.90749,1.09941,1.23692,1.02843,0,0
10,5.73625,5.61966,5.41197,3.97421,4.01187,4.09517,2.58423,3.30772,2.92966,1.20768,1.0087,1.20414,0,0
11,5.87985,5.65087,5.33862,4.18993,3.9913,4.10985,2.56385,3.38832,2.98437,1.15669,1.25203,1.18673,0,0
12,5.83674,5.69666,5.52508,3.99767,3.98272,4.08405,2.54598,3.25419,2.90247,1.02263,1.3005,1.19775,0,0
13,5.91939,5.92458,5.33558,4.33179,3.98888,4.1321,2.59134,3.13809,3.14692,1.00969,1.3678,1.24059,0,0
14,5.96387,5.64475,5.53508,4.27511,3.84743,4.06496,2.66454,3.22981,3.00369,1.30205,1.12267,1.25443,0,0
15,5.76318,5.71412,5.49505,4.10601,4.03593,3.92185,2.72739,3.27992,2.97525,1.16868,1.40892,1.37419,0,0
16,5.78696,5.71378,5.26827,4.23684,3.85769,3.90665,2.6239,3.45514,3.0904,1.25314,1.19587,1.39606,0,0
17,5.754,5.69732,5.53204,3.95478,3.91606,4.02889,2.81877,3.29171,3.23627,1.26439,1.10552,1.09637,0,0
18,5.65781,5.63589,5.35329,4.10103,3.90336,4.21925,2.60397,3.37794,2.92516,1.09643,1.14492,1.24076,0,0
19,5.68932,5.85542,5.56603,4.05105,3.80886,4.10789,2.70119,3.29375,3.06416,1.05257,1.19911,1.20485,0,0
20,5.85082,5.63506,5.54236,4.2135,3.94402,4.11921,2.65681,3.27105,2.94874,1.08363,1.27551,1.17486,0,0
21,5.85127,5.89422,5.54337,4.1395,3.96633,3.87965,2.62954,3.39664,3.01172,1.08354,1.17058,1.00981,0,0
22,5.82938,5.60122,5.72427,4.09722,4.05092,4.15198,2.72772,3.46499,2.89128,0.990729,1.06052,1.22606,0,0
23,5.66872,5.69185,5.36143,4.06279,4.005,3.80303,2.58969,3.23301,2.72893,1.13951,1.28396,1.35357,0,0
24,5.78928,5.51693,5.4834,4.02944,4.01186,4.12804,2.55037,3.2291,2.92366,1.37427,1.21761,1.28343,0,0
25,5.70544,5.77407,5.5033,4.05313,3.93597,4.09444,2.46297,3.1615,3.05561,1.17316,1.11865,1.01448,0,0
26,5.69419,5.72667,5.4307,4.11318,3.90841,3.92215,2.57286,3.4535,3.15914,1.16191,1.03762,1.197,0,0
27,5.86683,5.69918,5.51843,4.03362,3.88305,4.21514,2.69065,3.22614,2.80179,1.17298,1.2078,1.11933,0,0
28,5.6552,5.71061,5.45206,4.00707,3.98444,4.08492,2.55716,3.22253,3.01033,1.2119,1.33465,1.20216,0,0
29,5.71667,5.47419,5.24442,4.0709,3.89983,4.03074,2.64602,3.16803,2.73977,1.10532,1.21052,1.28919,0,0
30,5.81785,5.62958,5.40427,4.12756,3.78595,3.97285,2.65313,3.26302,2.77988,1.18299,1.30144,1.16723,0,0
31,5.84634,5.776,5.42371,4.1182,3.935,4.09512,2.87984,3.19307,2.94211,0.974488,1.19867,1.33472,0,0
32,5.70285,5.56439,5.22625,4.06948,3.96153,4.07592,2.49219,3.42114,3.03593,1.19718,1.28186,1.32537,0,0
33,5.6321,5.66247,5.50337,4.24463,4.10595,4.03242,2.59009,3.15536,3.19163,1.30659,1.19873,1.10505,0,0
34,5.72953,5.67926,5.52637,4.03004,3.81082,4.03955,2.50328,3.37546,2.87122,1.23497,1.26094,1.10644,0,0
35,5.72995,5.48852,5.58852,3.98962,3.93497,4.02237,2.58156,3.15819,2.98409,1.16276,1.04024,1.1464,0,0
36,5.80462,5.76332,5.42053,4.1003,3.99917,4.11619,2.53284,3.34006,2.97304,1.02916,1.24001,1.16338,0,0
37,5.80052,5.75587,5.49305,3.97731,4.13377,3.92623,2.76696,3.28272,2.88231,1.32467,1.19395,1.28907,0,0
38,5.78896,5.77645,5.32896,4.03312,3.8773,3.86173,2.71492,3.09984,2.87466,1.27714,1.15313,1.16898,0,0
base,5.74724,5.69616,5.49199,4.0919,3.92014,4.05991,2.59369,3.25979,2.97368,1.12417,1.20361,1.19256,0,0
