iteration,total_runs,obs_realization,par_realization,heads,time,distance
0,40,0,0,3021.16,0,0
0,40,1,1,6375.21,0,0
0,40,2,2,3690.71,0,0
0,40,3,3,105710,0,0
0,40,4,4,4181.71,0,0
0,40,5,5,5027.66,0,0
0,40,6,6,16511,0,0
0,40,7,7,5361.09,0,0
0,40,8,8,661.118,0,0
0,40,9,9,4561.69,0,0
0,40,10,10,2862.91,0,0
0,40,11,11,2314.92,0,0
0,40,12,12,6332.33,0,0
0,40,13,13,105703,0,0
0,40,14,14,29756.7,0,0
0,40,15,15,4944.75,0,0
0,40,16,16,2616.28,0,0
0,40,17,17,1962.93,0,0
0,40,18,18,4549.97,0,0
0,40,19,19,8823.22,0,0
0,40,20,20,2294.03,0,0
0,40,21,21,854.802,0,0
0,40,22,22,2114.94,0,0
0,40,23,23,7980.92,0,0
0,40,24,24,18615.6,0,0
0,40,25,25,3309.14,0,0
0,40,26,26,858.852,0,0
0,40,27,27,2412.09,0,0
0,40,28,28,3392.55,0,0
0,40,29,29,8360.58,0,0
0,40,30,30,5048.95,0,0
0,40,31,31,4953.71,0,0
0,40,32,32,1436.33,0,0
0,40,33,33,355.957,0,0
0,40,34,34,2904.1,0,0
0,40,35,35,4788.03,0,0
0,40,36,36,4475.34,0,0
0,40,37,37,10767.4,0,0
0,40,38,38,2764.03,0,0
0,40,base,base,238.897,0,0
1,96,0,0,77.7634,0,0
1,96,1,1,238.313,0,0
1,96,2,2,107.844,0,0
1,96,3,3,1973.42,0,0
1,96,4,4,415.791,0,0
1,96,5,5,759.125,0,0
1,96,6,6,369.653,0,0
1,96,7,7,961.784,0,0
1,96,8,8,43.2879,0,0
1,96,9,9,281.436,0,0
1,96,10,10,138.967,0,0
1,96,11,11,671.832,0,0
1,96,12,12,955.963,0,0
1,96,13,13,2411.84,0,0
1,96,14,14,2365.84,0,0
1,96,15,15,84.6432,0,0
1,96,16,16,189.888,0,0
1,96,17,17,73.1816,0,0
1,96,18,18,68.0275,0,0
1,96,19,19,2822.96,0,0
1,96,20,20,58.4407,0,0
1,96,21,21,1731.96,0,0
1,96,22,22,345.389,0,0
1,96,23,23,2030.08,0,0
1,96,24,24,3106.16,0,0
1,96,25,25,101.146,0,0
1,96,26,26,232.638,0,0
1,96,27,27,161.294,0,0
1,96,28,28,659.576,0,0
1,96,29,29,2691.27,0,0
1,96,30,30,348.751,0,0
1,96,31,31,169.085,0,0
1,96,32,32,312.772,0,0
1,96,33,33,262.232,0,0
1,96,34,34,181.462,0,0
1,96,35,35,411.808,0,0
1,96,36,36,229.42,0,0
1,96,37,37,43.4052,0,0
1,96,38,38,464.306,0,0
1,96,base,base,164.379,0,0
2,152,0,0,29.9878,0,0
2,152,1,1,29.2633,0,0
2,152,2,2,14.4077,0,0
2,152,3,3,46.9369,0,0
2,152,4,4,39.4244,0,0
2,152,5,5,23.5636,0,0
2,152,6,6,115.742,0,0
2,152,7,7,26.696,0,0
2,152,8,8,24.7659,0,0
2,152,9,9,24.7748,0,0
2,152,10,10,27.891,0,0
2,152,11,11,23.8267,0,0
2,152,12,12,135.414,0,0
2,152,13,13,33.6272,0,0
2,152,14,14,21.3775,0,0
2,152,15,15,27.5467,0,0
2,152,16,16,27.4794,0,0
2,152,17,17,42.8853,0,0
2,152,18,18,19.4548,0,0
2,152,19,19,88.4545,0,0
2,152,20,20,37.2068,0,0
2,152,21,21,30.8545,0,0
2,152,22,22,22.3924,0,0
2,152,23,23,70.6342,0,0
2,152,24,24,26.4573,0,0
2,152,25,25,32.0275,0,0
2,152,26,26,17.3222,0,0
2,152,27,27,28.3673,0,0
2,152,28,28,19.5107,0,0
2,152,29,29,45.2387,0,0
2,152,30,30,242.516,0,0
2,152,31,31,21.0689,0,0
2,152,32,32,22.3335,0,0
2,152,33,33,27.1498,0,0
2,152,34,34,44.5164,0,0
2,152,35,35,25.0858,0,0
2,152,36,36,28.1585,0,0
2,152,37,37,18.8047,0,0
2,152,38,38,89.1617,0,0
2,152,base,base,13.5295,0,0
3,208,0,0,9.2962,0,0
3,208,1,1,20.6967,0,0
3,208,2,2,12.7779,0,0
3,208,3,3,19.7558,0,0
3,208,4,4,17.5947,0,0
3,208,5,5,12.8994,0,0
3,208,6,6,13.5208,0,0
3,208,7,7,27.1427,0,0
3,208,8,8,16.1637,0,0
3,208,9,9,15.4788,0,0
3,208,10,10,11.2484,0,0
3,208,11,11,10.4963,0,0
3,208,12,12,11.6579,0,0
3,208,13,13,35.481,0,0
3,208,14,14,21.3301,0,0
3,208,15,15,19.9951,0,0
3,208,16,16,21.8052,0,0
3,208,17,17,21.4539,0,0
3,208,18,18,10.9471,0,0
3,208,19,19,35.7374,0,0
3,208,20,20,4.71358,0,0
3,208,21,21,23.9911,0,0
3,208,22,22,16.6726,0,0
3,208,23,23,15.8361,0,0
3,208,24,24,16.2189,0,0
3,208,25,25,9.78608,0,0
3,208,26,26,6.3096,0,0
3,208,27,27,16.9092,0,0
3,208,28,28,13.3305,0,0
3,208,29,29,25.7088,0,0
3,208,30,30,52.4851,0,0
3,208,31,31,17.4916,0,0
3,208,32,32,28.114,0,0
3,208,33,33,20.9571,0,0
3,208,34,34,12.5651,0,0
3,208,35,35,24.005,0,0
3,208,36,36,11.877,0,0
3,208,37,37,17.4478,0,0
3,208,38,38,18.814,0,0
3,208,base,base,4.24889,0,0
4,264,0,0,10.179,0,0
4,264,1,1,21.6776,0,0
4,264,2,2,12.8313,0,0
4,264,3,3,14.5778,0,0
4,264,4,4,5.12212,0,0
4,264,5,5,9.26774,0,0
4,264,6,6,9.53333,0,0
4,264,7,7,22.2685,0,0
4,264,8,8,9.99399,0,0
4,264,9,9,15.7208,0,0
4,264,10,10,7.40311,0,0
4,264,11,11,6.85636,0,0
4,264,12,12,8.06272,0,0
4,264,13,13,25.2586,0,0
4,264,14,14,18.1217,0,0
4,264,15,15,16.2435,0,0
4,264,16,16,19.9793,0,0
4,264,17,17,18.8595,0,0
4,264,18,18,9.39558,0,0
4,264,19,19,17.0286,0,0
4,264,20,20,4.65361,0,0
4,264,21,21,11.6744,0,0
4,264,22,22,17.0591,0,0
4,264,23,23,19.7181,0,0
4,264,24,24,13.9486,0,0
4,264,25,25,10.1052,0,0
4,264,26,26,7.24667,0,0
4,264,27,27,12.8012,0,0
4,264,28,28,9.0188,0,0
4,264,29,29,25.7374,0,0
4,264,30,30,9.16482,0,0
4,264,31,31,16.6017,0,0
4,264,32,32,31.3763,0,0
4,264,33,33,19.5509,0,0
4,264,34,34,13.8119,0,0
4,264,35,35,20.0128,0,0
4,264,36,36,7.13735,0,0
4,264,37,37,17.3461,0,0
4,264,38,38,23.1904,0,0
4,264,base,base,2.45247,0,0
5,282,0,0,10.179,0,0
5,282,1,1,21.6776,0,0
5,282,2,2,12.8313,0,0
5,282,3,3,14.5778,0,0
5,282,4,4,5.12212,0,0
5,282,5,5,9.26774,0,0
5,282,6,6,9.53333,0,0
5,282,7,7,22.2685,0,0
5,282,8,8,9.99399,0,0
5,282,9,9,15.7208,0,0
5,282,10,10,7.40311,0,0
5,282,11,11,6.85636,0,0
5,282,12,12,8.06272,0,0
5,282,13,13,25.2586,0,0
5,282,14,14,18.1217,0,0
5,282,15,15,16.2435,0,0
5,282,16,16,19.9793,0,0
5,282,17,17,18.8595,0,0
5,282,18,18,9.39558,0,0
